record num,title,author_list,date
17,Simultaneously-evoked auditory potentials (SEAP): A new method for concurrent measurement of cortical and subcortical auditory-evoked activity.,"Christopher Slugocki,Daniel Bosnyak,Laurel J Trainor",2016
18,"Social determinants of health and retention in HIV care in a clinical cohort in Ontario, Canada.","Beth Rachlis,Ann N Burchell,Sandra Gardner,Lucia Light,Janet Raboud,Tony Antoniou,Jean Bacon,Anita Benoit,Curtis Cooper,Claire Kendall,Mona Loutfy,Wendy Wobeser,Frank McGee,Anita Rachlis,Sean B Rourke,Ontario HIV Treatment Network Cohort Study",2016
19,Meta-analysis of Driving Cessation and Dementia: Does Sex Matter?,"Nicolette Baines,Bonnie Au,Mark J Rapoport,Gary Naglie,Mary C Tierney",2016
20,Assessing cognitive functioning in ALS: A focus on frontal lobe processes.,"S M Gillingham,Y Yunusova,A Ganda,E Rogaeva,S E Black,D T Stuss,L Zinman",2016
21,The relationship between eye movements and subsequent recognition: Evidence from individual differences and amnesia.,"Rosanna K Olsen,Vinoja Sebanayagam,Yunjo Lee,Morris Moscovitch,Cheryl L Grady,R Shayna Rosenbaum,Jennifer D Ryan",2016
22,Pop-out and pop-in: Visual working memory advantages for unique items.,"Jason Rajsic,Sol Z Sun,Lauren Huxtable,Jay Pratt,Susanne Ferber",
23,Microarray analysis of transcripts with elevated expressions in the rat medial or lateral habenula suggest fast GABAergic excitation in the medial habenula and habenular involvement in the regulation of feeding and energy balance.,"Franziska Wagner,René Bernard,Christian Derst,Leon French,Rüdiger W Veh",2016
24,Structural brain correlates of adolescent resilience.,"Keith B Burt,Robert Whelan,Patricia J Conrod,Tobias Banaschewski,Gareth J Barker,Arun L W Bokde,Uli Bromberg,Christian Büchel,Mira Fauth-Bühler,Herta Flor,André Galinowski,Juergen Gallinat,Penny Gowland,Andreas Heinz,Bernd Ittermann,Karl Mann,Frauke Nees,Dimitri Papadopoulos-Orfanos,Tomas Paus,Zdenka Pausova,Luise Poustka,Marcella Rietschel,Trevor W Robbins,Michael N Smolka,Andreas Ströhle,Gunter Schumann,Hugh Garavan,IMAGEN Consortium",2016
25,The retrieval of perceptual memory details depends on right hippocampal integrity and activation.,"Marie St-Laurent,Morris Moscovitch,Mary Pat McAndrews",2016
26,Cross-modal distractors modulate oscillatory alpha power: the neural basis of impaired task performance.,"Annekathrin Weise,Thomas Hartmann,Erich Schröger,Nathan Weisz,Philipp Ruhnau",2016
27,Eigenmodes of brain activity: Neural field theory predictions and comparison with experiment.,"P A Robinson,X Zhao,K M Aquino,J D Griffiths,S Sarkar,Grishma Mehta-Pandejee",2016
28,The effectiveness of unitization in mitigating age-related relational learning impairments depends on existing cognitive status.,"Maria C D'Angelo,Victoria M Smith,Arber Kacollja,Felicia Zhang,Malcolm A Binns,Morgan D Barense,Jennifer D Ryan",2016
29,Autobiographical and episodic memory deficits in mild traumatic brain injury.,"Jeffrey D Wammes,Tyler J Good,Myra A Fernandes",2016
30,"Similarities and differences in the default mode network across rest, retrieval, and future imagining.","B Bellana,Z-X Liu,N B Diamond,C L Grady,M Moscovitch",2016
31,Individual differences in visual imagery determine how event information is remembered.,"Signy Sheldon,Robert Amaral,Brian Levine",2016
32,Ventromedial prefrontal cortex generates pre-stimulus theta coherence desynchronization: A schema instantiation hypothesis.,"Asaf Gilboa,Morris Moscovitch",2016
33,A watershed model of individual differences in fluid intelligence.,"Rogier A Kievit,Simon W Davis,John Griffiths,Marta M Correia,Richard N Henson",2016
34,The role of the hippocampus in approach-avoidance conflict decision-making: Evidence from rodent and human studies.,"Rutsuko Ito,Andy C H Lee",2016
35,A robust method for suppressing motion-induced coil sensitivity variations during prospective correction of head motion in fMRI.,"Zahra Faraji-Dana,Fred Tam,J Jean Chen,Simon J Graham",2016
36,"Short-term Music Training Enhances Complex, Distributed Neural Communication during Music and Linguistic Tasks.","Sarah M Carpentier,Sylvain Moreno,Anthony R McIntosh",2016
37,"Negative priming 1985 to 2015: a measure of inhibition, the emergence of alternative accounts, and the multiple process challenge.","Maria C D'Angelo,David R Thomson,Steven P Tipper,Bruce Milliken",2016
38,Face-name learning in older adults: a benefit of hyper-binding.,"Jennifer C Weeks,Renée K Biss,Kelly J Murphy,Lynn Hasher",
39,Age-related changes to oscillatory dynamics in hippocampal and neocortical networks.,"Renante Rondina,Rosanna K Olsen,Douglas A McQuiggan,Zainab Fatima,Lingqian Li,Esther Oziel,Jed A Meltzer,Jennifer D Ryan",2015
40,Older adults show a self-reference effect for narrative information.,"Nicole Carson,Kelly J Murphy,Morris Moscovitch,R Shayna Rosenbaum",2015
41,Practice and Learning: Spatiotemporal Differences in Thalamo-Cortical-Cerebellar Networks Engagement across Learning Phases in Schizophrenia.,"Michele Korostil,Gary Remington,Anthony Randal McIntosh",2017
42,Using Auditory Steady-State Responses for Measuring Hearing Protector Attenuation.,"Olivier Valentin,Sasha M John,Frédéric Laville",
43,Small vessel disease is linked to disrupted structural network covariance in Alzheimer's disease.,"Sean M Nestor,Bratislav Mišić,Joel Ramirez,Jiali Zhao,Simon J Graham,Nicolaas P L G Verhoeff,Donald T Stuss,Mario Masellis,Sandra E Black",2017
44,"Mapping complementary features of cross-species structural connectivity to construct realistic ""Virtual Brains"".","Gleb Bezgin,Ana Solodkin,Rembrandt Bakker,Petra Ritter,Anthony R McIntosh",2017
45,Effects of working memory training on neural correlates of Go/Nogo response control in adults with ADHD: A randomized controlled trial.,"Zhong-Xu Liu,Victoria Lishak,Rosemary Tannock,Steven Woltering",2016
46,A harmonized segmentation protocol for hippocampal and parahippocampal subregions: Why do we need one and what are the key goals?,"Laura E M Wisse,Ana M Daugherty,Rosanna K Olsen,David Berron,Valerie A Carr,Craig E L Stark,Robert S C Amaral,Katrin Amunts,Jean C Augustinack,Andrew R Bender,Jeffrey D Bernstein,Marina Boccardi,Martina Bocchetta,Alison Burggren,M Mallar Chakravarty,Marie Chupin,Arne Ekstrom,Robin de Flores,Ricardo Insausti,Prabesh Kanel,Olga Kedo,Kristen M Kennedy,Geoffrey A Kerchner,Karen F LaRocque,Xiuwen Liu,Anne Maass,Nicolai Malykhin,Susanne G Mueller,Noa Ofen,Daniela J Palombo,Mansi B Parekh,John B Pluta,Jens C Pruessner,Naftali Raz,Karen M Rodrigue,Dorothee Schoemaker,Andrea T Shafer,Trevor A Steve,Nanthia Suthana,Lei Wang,Julie L Winterburn,Michael A Yassa,Paul A Yushkevich,Renaud la Joie,Hippocampal Subfields Group",2016
47,Perception of Impossible Scenes Reveals Differential Hippocampal and Parahippocampal Place Area Contributions to Spatial Coherency.,"Danielle Douglas,Sathesan Thavabalasingam,Zahraa Chorghay,Edward B O'Neil,Morgan D Barense,Andy C H Lee",2016
48,Comparison of two cognitive interventions for adults experiencing executive dysfunction post-stroke: a pilot study.,"Valérie Poulin,Nicol Korner-Bitensky,Louis Bherer,Maxime Lussier,Deirdre R Dawson",2016
49,Lack of Frank Agrammatism in the Nonfluent Agrammatic Variant of Primary Progressive Aphasia.,"Naida L Graham,Carol Leonard,David F Tang-Wai,Sandra Black,Tiffany W Chow,Chris J M Scott,Alicia A McNeely,Mario Masellis,Elizabeth Rochon",2016
50,Human Envelope Following Responses to Amplitude Modulation: Effects of Aging and Modulation Depth.,"Andrew Dimitrijevic,Jamal Alsamri,M Sasha John,David Purcell,Sahara George,Fan-Gang Zeng",
51,fMRI evidence of equivalent neural suppression by repetition and prior knowledge.,"J Poppenk,A R McIntosh,M Moscovitch",2016
52,Dissociating patterns of anterior and posterior hippocampal activity and connectivity during distinct forms of category fluency.,"Signy Sheldon,Mary Pat McAndrews,Jens Pruessner,Morris Moscovitch",2016
53,The source dilemma hypothesis: Perceptual uncertainty contributes to musical emotion.,"Tanor L Bonin,Laurel J Trainor,Michel Belyk,Paul W Andrews",2016
54,Interactions between head motion and coil sensitivity in accelerated fMRI.,"Z Faraji-Dana,F Tam,J J Chen,S J Graham",2016
55,Quantitative mapping of cerebrovascular reactivity using resting-state BOLD fMRI: Validation in healthy adults.,"Ali M Golestani,Luxi L Wei,J Jean Chen",2016
56,Aging Effects on Whole-Brain Functional Connectivity in Adults Free of Cognitive and Psychiatric Disorders.,"Luiz Kobuti Ferreira,Ana Carolina Brocanello Regina,Natasa Kovacevic,Maria da Graça Morais Martin,Pedro Paim Santos,Camila de Godoi Carneiro,Daniel Shikanai Kerr,Edson Amaro,Anthony Randal McIntosh,Geraldo F Busatto",2015
57,"Bilingualism, executive control, and age at diagnosis among people with early-stage Alzheimer's disease in Wales.","Linda Clare,Christopher J Whitaker,Fergus I M Craik,Ellen Bialystok,Anthony Martyr,Pamela A Martin-Forbes,Alexandra J M Bastable,Kirstie L Pye,Catherine Quinn,Enlli M Thomas,Virginia C Mueller Gathercole,John V Hindle",2014
58,Unified and Separable Hippocampal Representations of Time and Space.,Iva K Brunec,
59,Visual sampling predicts hippocampal activity.,"Zhong-Xu Liu,Kelly Shen,Rosanna K Olsen,Jennifer D Ryan",2016
60,"Smoking in pregnancy, adolescent mental health and cognitive performance in young adult offspring: results from a matched sample within a Finnish cohort.","Hugh Ramsay,Jennifer H Barnett,Graham K Murray,Pirjo Mäki,Tuula Hurtig,Tanja Nordström,Jouko Miettunen,Vesa Kiviniemi,Solja Niemelä,Zdenka Pausova,Tomas Paus,Juha Veijola",2016
61,Cognitive Control As a Double-Edged Sword.,"Tarek Amer,Karen L Campbell,Lynn Hasher",
62,Novel genetic loci underlying human intracranial volume identified through genome-wide association.,"Hieab H H Adams,Derrek P Hibar,Vincent Chouraki,Jason L Stein,Paul A Nyquist,Miguel E Rentería,Stella Trompet,Alejandro Arias-Vasquez,Sudha Seshadri,Sylvane Desrivières,Ashley H Beecham,Neda Jahanshad,Katharina Wittfeld,Sven J Van der Lee,Lucija Abramovic,Saud Alhusaini,Najaf Amin,Micael Andersson,Konstantinos Arfanakis,Benjamin S Aribisala,Nicola J Armstrong,Lavinia Athanasiu,Tomas Axelsson,Alexa Beiser,Manon Bernard,Joshua C Bis,Laura M E Blanken,Susan H Blanton,Marc M Bohlken,Marco P Boks,Janita Bralten,Adam M Brickman,Owen Carmichael,M Mallar Chakravarty,Ganesh Chauhan,Qiang Chen,Christopher R K Ching,Gabriel Cuellar-Partida,Anouk Den Braber,Nhat Trung Doan,Stefan Ehrlich,Irina Filippi,Tian Ge,Sudheer Giddaluru,Aaron L Goldman,Rebecca F Gottesman,Corina U Greven,Oliver Grimm,Michael E Griswold,Tulio Guadalupe,Johanna Hass,Unn K Haukvik,Saima Hilal,Edith Hofer,David Hoehn,Avram J Holmes,Martine Hoogman,Deborah Janowitz,Tianye Jia,Dalia Kasperaviciute,Sungeun Kim,Marieke Klein,Bernd Kraemer,Phil H Lee,Jiemin Liao,David C M Liewald,Lorna M Lopez,Michelle Luciano,Christine Macare,Andre Marquand,Mar Matarin,Karen A Mather,Manuel Mattheisen,Bernard Mazoyer,David R McKay,Rebekah McWhirter,Yuri Milaneschi,Nazanin Mirza-Schreiber,Ryan L Muetzel,Susana Muñoz Maniega,Kwangsik Nho,Allison C Nugent,Loes M Olde Loohuis,Jaap Oosterlaan,Martina Papmeyer,Irene Pappa,Lukas Pirpamer,Sara Pudas,Benno Pütz,Kumar B Rajan,Adaikalavan Ramasamy,Jennifer S Richards,Shannon L Risacher,Roberto Roiz-Santiañez,Nanda Rommelse,Emma J Rose,Natalie A Royle,Tatjana Rundek,Philipp G Sämann,Claudia L Satizabal,Lianne Schmaal,Andrew J Schork,Li Shen,Jean Shin,Elena Shumskaya,Albert V Smith,Emma Sprooten,Lachlan T Strike,Alexander Teumer,Russell Thomson,Diana Tordesillas-Gutierrez,Roberto Toro,Daniah Trabzuni,Dhananjay Vaidya,Jeroen Van der Grond,Dennis Van der Meer,Marjolein M J Van Donkelaar,Kristel R Van Eijk,Theo G M Van Erp,Daan Van Rooij,Esther Walton,Lars T Westlye,Christopher D Whelan,Beverly G Windham,Anderson M Winkler,Girma Woldehawariat,Christiane Wolf,Thomas Wolfers,Bing Xu,Lisa R Yanek,Jingyun Yang,Alex Zijdenbos,Marcel P Zwiers,Ingrid Agartz,Neelum T Aggarwal,Laura Almasy,David Ames,Philippe Amouyel,Ole A Andreassen,Sampath Arepalli,Amelia A Assareh,Sandra Barral,Mark E Bastin,Diane M Becker,James T Becker,David A Bennett,John Blangero,Hans van Bokhoven,Dorret I Boomsma,Henry Brodaty,Rachel M Brouwer,Han G Brunner,Randy L Buckner,Jan K Buitelaar,Kazima B Bulayeva,Wiepke Cahn,Vince D Calhoun,Dara M Cannon,Gianpiero L Cavalleri,Christopher Chen,Ching-Yu Cheng,Sven Cichon,Mark R Cookson,Aiden Corvin,Benedicto Crespo-Facorro,Joanne E Curran,Michael Czisch,Anders M Dale,Gareth E Davies,Eco J C De Geus,Philip L De Jager,Greig I de Zubicaray,Norman Delanty,Chantal Depondt,Anita L DeStefano,Allissa Dillman,Srdjan Djurovic,Gary Donohoe,Wayne C Drevets,Ravi Duggirala,Thomas D Dyer,Susanne Erk,Thomas Espeseth,Denis A Evans,Iryna O Fedko,Guillén Fernández,Luigi Ferrucci,Simon E Fisher,Debra A Fleischman,Ian Ford,Tatiana M Foroud,Peter T Fox,Clyde Francks,Masaki Fukunaga,J Raphael Gibbs,David C Glahn,Randy L Gollub,Harald H H Göring,Hans J Grabe,Robert C Green,Oliver Gruber,Vilmundur Gudnason,Sebastian Guelfi,Narelle K Hansell,John Hardy,Catharina A Hartman,Ryota Hashimoto,Katrin Hegenscheid,Andreas Heinz,Stephanie Le Hellard,Dena G Hernandez,Dirk J Heslenfeld,Beng-Choon Ho,Pieter J Hoekstra,Wolfgang Hoffmann,Albert Hofman,Florian Holsboer,Georg Homuth,Norbert Hosten,Jouke-Jan Hottenga,Hilleke E Hulshoff Pol,Masashi Ikeda,M Kamran Ikram,Clifford R Jack,Mark Jenkinson,Robert Johnson,Erik G Jönsson,J Wouter Jukema,René S Kahn,Ryota Kanai,Iwona Kloszewska,David S Knopman,Peter Kochunov,John B Kwok,Stephen M Lawrie,Hervé Lemaître,Xinmin Liu,Dan L Longo,W T Longstreth,Oscar L Lopez,Simon Lovestone,Oliver Martinez,Jean-Luc Martinot,Venkata S Mattay,Colm McDonald,Andrew M McIntosh,Katie L McMahon,Francis J McMahon,Patrizia Mecocci,Ingrid Melle,Andreas Meyer-Lindenberg,Sebastian Mohnke,Grant W Montgomery,Derek W Morris,Thomas H Mosley,Thomas W Mühleisen,Bertram Müller-Myhsok,Michael A Nalls,Matthias Nauck,Thomas E Nichols,Wiro J Niessen,Markus M Nöthen,Lars Nyberg,Kazutaka Ohi,Rene L Olvera,Roel A Ophoff,Massimo Pandolfo,Tomas Paus,Zdenka Pausova,Brenda W J H Penninx,G Bruce Pike,Steven G Potkin,Bruce M Psaty,Simone Reppermund,Marcella Rietschel,Joshua L Roffman,Nina Romanczuk-Seiferth,Jerome I Rotter,Mina Ryten,Ralph L Sacco,Perminder S Sachdev,Andrew J Saykin,Reinhold Schmidt,Peter R Schofield,Sigurdur Sigurdsson,Andy Simmons,Andrew Singleton,Sanjay M Sisodiya,Colin Smith,Jordan W Smoller,Hilkka Soininen,Velandai Srikanth,Vidar M Steen,David J Stott,Jessika E Sussmann,Anbupalam Thalamuthu,Henning Tiemeier,Arthur W Toga,Bryan J Traynor,Juan Troncoso,Jessica A Turner,Christophe Tzourio,Andre G Uitterlinden,Maria C Valdés Hernández,Marcel Van der Brug,Aad Van der Lugt,Nic J A Van der Wee,Cornelia M Van Duijn,Neeltje E M Van Haren,Dennis Van T Ent,Marie-Jose Van Tol,Badri N Vardarajan,Dick J Veltman,Meike W Vernooij,Henry Völzke,Henrik Walter,Joanna M Wardlaw,Thomas H Wassink,Michael E Weale,Daniel R Weinberger,Michael W Weiner,Wei Wen,Eric Westman,Tonya White,Tien Y Wong,Clinton B Wright,H Ronald Zielke,Alan B Zonderman,Ian J Deary,Charles DeCarli,Helena Schmidt,Nicholas G Martin,Anton J M De Craen,Margaret J Wright,Lenore J Launer,Gunter Schumann,Myriam Fornage,Barbara Franke,Stéphanie Debette,Sarah E Medland,M Arfan Ikram,Paul M Thompson",2016
